,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
11,9,2,17,   ,   ,   ,2,3,10,9052
47,12,5,15,   ,   ,   ,1,3,10,3418
48,12,6,16,   ,   ,   ,2,3,10,3418
53,11,6,10,004,002,007,2,1,1,3233
93,9,5,12,005,002,008,2,1,1,22498
94,9,5,7,   ,   ,   ,2,3,7,22498
95,9,3,5,   ,   ,   ,2,3,8,22498
96,9,6,10,002,002,009,1,1,1,8274
97,9,6,9,001,002,000,2,1,1,8274
98,12,5,12,005,002,009,1,1,1,16936
99,12,5,11,   ,   ,   ,2,3,8,16936
100,12,5,6,   ,   ,   ,1,3,8,16936
151,9,5,13,005,002,007,1,1,1,10191
152,9,6,13,009,002,008,2,1,1,10191
153,9,5,6,   ,   ,   ,2,3,8,10191
154,9,5,7,   ,   ,   ,1,3,8,10191
167,9,6,10,005,002,007,1,1,1,10566
168,9,3,11,002,002,007,2,1,1,10566
184,9,2,16,   ,   ,   ,1,3,10,10113
185,9,3,14,   ,   ,   ,1,3,8,10113
201,11,6,11,011,002,008,1,1,1,5958
202,11,6,11,005,002,010,2,1,1,5958
203,11, ,4,   ,   ,   ,2,3,9,5958
218,10,4,8,001,002,007,1,1,1,4449
219,10,5,12,   ,   ,   ,2,2,3,4449
220,11,2,17,   ,   ,   ,1,3,10,2491
231,9,1,17,   ,   ,   ,2,3,10,6078
237,11,5,8,002,002,008,2,1,1,2112
238,11,5,10,002,002,008,1,1,1,2112
239,10,3,7,009,002,009,1,1,1,4256
240,10,3,6,004,002,009,2,1,1,4256
247,10,2,17,   ,   ,   ,2,3,10,2408
258,12,2,16,   ,   ,   ,2,3,10,33930
270,10,5,14,003,002,009,1,1,1,2874
286,11,5,9,004,002,008,1,1,1,3673
287,11,5,7,004,002,010,2,1,1,3673
288,11, ,2,   ,   ,   ,2,3,9,3673
289,11, ,1,   ,   ,   ,1,3,9,3673
309,10,6,12,002,002,008,2,1,1,2609
313,12,1,17,   ,   ,   ,2,3,10,10897
314,12,3,10,   ,   ,   ,1,3,8,10897
355,12,5,9,004,002,010,1,1,1,7763
356,12,3,9,004,002,010,2,1,1,7763
357,12, ,3,   ,   ,   ,2,3,9,7763
358,12, ,2,   ,   ,   ,1,3,9,7763
378,11,5,14,   ,   ,   ,1,3,8,1976
379,11,2,15,   ,   ,   ,2,3,10,1976
385,9,5,14,005,002,007,2,1,1,4421
386,9,2,15,   ,   ,   ,1,3,10,4421
389,11,3,10,010,   ,010,2,1,1,1995
390,11, ,4,   ,   ,   ,1,3,9,1995
393,11,5,15,005,002,010,1,1,1,2547
394,11,6,14,005,002,009,2,1,1,2547
400,11,2,14,   ,   ,   ,1,3,8,3681
401,11,2,13,   ,   ,   ,2,3,7,3681
419,10,3,17,   ,   ,   ,2,3,10,2039
420,10,5,12,   ,   ,   ,1,2,2,2039
438,12,3,17,   ,   ,   ,1,3,10,6191
439,12,2,17,   ,   ,   ,2,3,10,6191
448,11,5,17,   ,   ,   ,2,3,10,2137
449,11,5,11,002,002,010,1,1,1,2137
479,9,5,13,005,002,007,2,1,1,8454
487,11,6,14,011,   ,006,2,1,1,4371
547,11,5,10,010,   ,006,1,1,1,4226
555,9,3,15,   ,   ,   ,1,3,10,14301
556,10,2,17,   ,   ,   ,2,3,10,2092
557,10,2,17,   ,   ,   ,1,3,10,2092
564,12,5,10,011,002,008,1,1,1,39966
596,12,1,17,   ,   ,   ,2,3,10,17861
598,12,2,14,   ,   ,   ,1,3,8,11111
599,12,3,13,   ,   ,   ,2,3,8,11111
604,10,2,17,   ,   ,   ,1,3,10,2877
605,10,3,16,   ,   ,   ,2,3,10,2877
623,9,2,14,   ,   ,   ,1,3,8,6801
624,9,3,14,010,   ,000,2,1,1,6801
625,9,2,17,   ,   ,   ,1,3,10,5645
626,9,2,17,   ,   ,   ,2,3,10,5645
639,9,5,17,   ,   ,   ,2,3,10,6274
647,10,5,17,   ,   ,   ,1,3,10,1962
648,10,3,17,   ,   ,   ,2,3,10,1962
649,10,3,12,   ,   ,   ,1,3,8,1962
701,9,3,11,   ,   ,   ,2,3,7,13355
702,9,3,5,   ,   ,   ,2,3,8,13355
705,9,2,17,   ,   ,   ,1,3,10,7267
706,9,2,17,   ,   ,   ,2,3,10,7267
728,11,6,12,006,002,006,2,1,1,1836
739,12,3,17,   ,   ,   ,2,3,10,14821
740,12,5,13,005,002,009,2,1,1,14821
745,9,2,17,010,   ,002,1,1,1,6008
746,9,3,16,   ,   ,   ,2,3,10,6008
771,10,5,10,001,002,007,1,1,1,5556
772,10,6,8,005,002,007,2,1,1,5556
773,10,6,11,010,   ,010,2,1,1,2532
774,10,3,5,   ,   ,   ,1,3,8,2532
775,10, ,4,   ,   ,   ,1,3,9,2532
776,10, ,4,   ,   ,   ,1,3,9,2532
783,11,1,16,   ,   ,   ,1,3,10,3492
784,11,2,15,   ,   ,   ,2,3,10,3492
788,12,4,11,002,002,008,1,1,1,18977
789,12,5,9,   ,   ,   ,2,3,8,18977
790,12, ,4,   ,   ,   ,1,3,9,18977
791,12, ,3,   ,   ,   ,1,3,9,18977
795,10,5,15,   ,   ,   ,1,3,10,2724
796,10,5,15,   ,   ,   ,2,3,10,2724
797,9,3,12,996,002,008,1,1,1,9669
813,10,5,14,   ,   ,   ,2,2,2,1594
814,10,5,16,   ,   ,   ,1,3,10,1594
819,10,5,7,   ,   ,   ,2,2,4,5133
820,10, ,1,   ,   ,   ,1,3,9,5133
840,9,3,16,   ,   ,   ,1,3,10,3632
841,9,3,14,   ,   ,   ,2,3,8,3632
843,9,2,17,   ,   ,   ,1,3,10,7847
844,9,2,17,   ,   ,   ,2,3,10,7847
849,9,3,17,   ,   ,   ,1,3,10,10403
850,9,3,15,   ,   ,   ,2,3,10,10403
884,11,4,16,   ,   ,   ,1,3,10,5933
885,11,3,16,   ,   ,   ,2,3,10,5933
887,11,5,12,002,002,006,2,1,1,2895
895,12,6,13,010,   ,005,2,1,1,22838
896,12,5,13,   ,   ,   ,1,3,8,22838
905,11,2,17,   ,   ,   ,1,3,10,5666
906,11,3,15,   ,   ,   ,2,3,10,5666
907,11,5,8,   ,   ,   ,2,3,7,5666
915,11,6,9,002,002,010,1,1,1,2835
917,10,5,9,002,002,009,1,1,1,4900
918,10,5,8,011,002,008,2,1,1,4900
919,10, ,3,   ,   ,   ,2,3,9,4900
920,10, ,3,   ,   ,   ,2,3,9,4900
924,11,5,13,010,   ,010,1,1,1,2421
925,11,5,13,002,002,008,2,1,1,2421
926,11,3,5,   ,   ,   ,1,3,8,2421
927,12,1,11,   ,   ,   ,2,3,6,24975
928,12,3,6,   ,   ,   ,2,3,8,24975
929,12, ,4,   ,   ,   ,2,3,9,24975
930,12, ,3,   ,   ,   ,2,3,9,24975
931,12, ,1,   ,   ,   ,1,3,9,24975
949,10,2,17,   ,   ,   ,2,3,10,2848
966,10,5,10,002,002,007,1,1,1,4338
969,12,2,15,   ,   ,   ,1,3,10,6235
970,12,5,16,   ,   ,   ,2,3,10,6235
980,10,3,14,   ,   ,   ,1,3,8,2170
981,10,2,14,   ,   ,   ,2,3,8,2170
982,10,5,8,009,002,008,2,1,1,2170
983,10,4,7,   ,   ,   ,2,2,2,2170
998,11,3,17,   ,   ,   ,1,3,10,4302
999,11,3,17,   ,   ,   ,2,3,10,4302
1004,11,2,17,   ,   ,   ,2,3,10,4854
1019,9,2,16,   ,   ,   ,1,3,10,5997
1020,9,2,16,   ,   ,   ,2,3,10,5997
1035,11,2,15,010,   ,009,1,1,1,1799
1036,11,2,13,011,002,007,2,1,1,1799
1057,11,5,9,010,   ,008,2,1,1,3074
1080,12,2,17,   ,   ,   ,1,3,10,9002
1102,9,6,14,002,002,008,1,1,1,10777
1103,9,6,13,002,002,006,2,1,1,10777
1104,12,2,17,   ,   ,   ,2,3,10,20505
1121,12,5,17,   ,   ,   ,1,3,10,15791
1122,12,5,17,   ,   ,   ,2,3,10,15791
1123,12,2,17,   ,   ,   ,1,3,10,7231
1124,12,2,16,   ,   ,   ,2,3,10,7231
1128,10,2,17,   ,   ,   ,1,3,10,3897
1132,10,2,17,   ,   ,   ,1,3,10,2395
1133,10,2,17,   ,   ,   ,2,3,10,2395
1143,11,5,14,   ,   ,   ,2,2,2,4652
1144,11,3,9,002,002,007,2,1,1,4652
1145,12,5,17,   ,   ,   ,1,3,10,9971
1173,12,2,16,   ,   ,   ,2,3,10,24406
1176,11,5,13,010,   ,005,2,1,1,3430
1177,11,2,17,   ,   ,   ,2,3,10,3430
1182,10,4,10,003,002,009,2,1,1,3214
1189,9,5,12,002,002,005,2,1,1,9459
1190,9,5,7,   ,   ,   ,2,3,8,9459
1193,10,3,16,   ,   ,   ,1,3,10,2548
1194,10,5,16,   ,   ,   ,2,3,10,2548
1199,10,5,12,011,002,008,1,1,1,2563
1200,10,5,11,004,002,010,2,1,1,2563
1201,10,3,5,   ,   ,   ,2,3,8,2563
1202,10, ,4,   ,   ,   ,1,3,9,2563
1203,10, ,3,   ,   ,   ,1,3,9,2563
1220,12,5,15,   ,   ,   ,1,2,2,19060
1221,12,3,13,   ,   ,   ,2,3,8,19060
1222,12,5,6,   ,   ,   ,2,3,8,19060
1236,10,5,11,   ,   ,   ,2,3,7,2461
1237,10,3,5,   ,   ,   ,1,3,8,2461
1250,11,6,10,005,002,006,2,1,1,4730
1251,11,4,10,002,002,006,1,1,1,4730
1252,11, ,3,   ,   ,   ,2,3,9,4730
1253,11, ,3,   ,   ,   ,2,3,9,4730
1255,10,3,14,   ,   ,   ,1,3,8,2609
1256,10,3,14,011,002,006,2,1,1,2609
1257,10,2,17,   ,   ,   ,2,3,10,2685
1262,11,3,12,010,   ,007,1,1,1,2882
1263,11,5,6,   ,   ,   ,1,3,8,2882
1264,11,3,5,   ,   ,   ,1,3,8,2882
1265,12,3,14,002,002,006,1,1,1,15725
1266,12,2,14,   ,   ,   ,2,3,8,15725
1267,12,5,8,002,002,008,1,1,1,15725
1277,12,3,15,   ,   ,   ,2,3,10,31039
1278,12,6,8,   ,   ,   ,2,2,2,31039
1279,11,5,12,010,   ,008,2,1,1,9755
1280,11,6,7,   ,   ,   ,2,2,2,9755
1281,11,3,5,   ,   ,   ,1,3,8,9755
1300,11,6,12,005,002,007,1,1,1,4940
1301,11,6,10,   ,   ,   ,2,3,8,4940
1306,12,5,11,011,002,010,1,1,1,8409
1307,12,3,10,   ,   ,   ,2,2,4,8409
1308,12, ,4,   ,   ,   ,2,3,9,8409
1309,12, ,4,   ,   ,   ,1,3,9,8409
1310,12,3,17,   ,   ,   ,1,3,10,8409
1328,9,5,11,   ,   ,   ,2,2,2,7165
1332,9,5,16,   ,   ,   ,2,3,10,14268
1351,9,5,10,010,   ,008,1,1,1,7748
1352,9,5,9,   ,   ,   ,2,3,8,7748
1353,9, ,4,   ,   ,   ,1,3,9,7748
1354,9, ,2,   ,   ,   ,2,3,9,7748
1370,11,6,16,   ,   ,   ,2,3,10,5087
1376,9,3,13,002,002,008,1,1,1,18428
1377,9,3,12,011,002,006,2,1,1,18428
1378,9,5,7,   ,   ,   ,1,3,8,18428
1379,9,5,6,   ,   ,   ,1,2,4,18428
1380,9, ,4,   ,   ,   ,1,3,9,18428
1400,11,3,12,010,   ,008,1,1,1,2852
1401,11,5,11,002,002,009,2,1,1,2852
1434,12,5,11,005,002,010,2,1,1,25349
1435,11,2,17,   ,   ,   ,2,3,10,1341
1439,9,2,17,   ,   ,   ,1,3,10,5653
1440,9,2,17,   ,   ,   ,2,3,10,5653
1448,9,3,10,010,   ,008,1,1,1,19733
1449,9,5,10,011,002,008,2,1,1,19733
1450,9, ,3,   ,   ,   ,1,3,9,19733
1451,9, ,4,   ,   ,   ,2,3,9,19733
1455,10,5,8,002,002,007,1,1,1,3237
1456,10,5,8,002,002,007,2,1,1,3237
1457,10, ,4,   ,   ,   ,2,3,9,3237
1458,10, ,2,   ,   ,   ,1,3,9,3237
1469,12,3,17,   ,   ,   ,2,3,10,20121
1502,11,2,17,   ,   ,   ,1,3,10,2913
1503,11,1,17,   ,   ,   ,2,3,10,2913
1575,10,3,10,001,002,007,2,1,1,4570
1584,12,6,10,011,   ,008,2,1,1,23208
1585,12,6,9,001,002,010,1,1,1,23208
1586,12, ,3,   ,   ,   ,2,3,9,23208
1600,10,2,17,   ,   ,   ,1,3,10,2450
1601,11,5,17,   ,   ,   ,1,3,10,2000
1614,9,2,17,   ,   ,   ,1,3,10,13584
1615,9,3,17,   ,   ,   ,2,3,10,13584
1619,10,6,11,002,002,009,2,1,1,3864
1630,12,2,16,   ,   ,   ,1,3,10,4941
1631,12,2,16,   ,   ,   ,2,3,10,4941
1638,9,3,9,011,002,009,2,1,1,7013
1639,9,3,9,011,002,008,1,1,1,7013
1640,9, ,2,   ,   ,   ,2,3,9,7013
1641,9, ,2,   ,   ,   ,1,3,9,7013
1642,11,5,10,010,   ,008,1,1,1,3746
1643,11,3,8,011,002,006,2,1,1,3746
1644,11, ,2,   ,   ,   ,1,3,9,3746
1663,9,5,15,   ,   ,   ,1,3,10,10804
1664,9,5,14,005,002,006,2,1,1,10804
1665,9,6,9,003,002,008,2,1,1,10804
1675,9,1,17,   ,   ,   ,2,3,10,15269
1676,10,6,16,003,002,010,1,1,1,3044
1704,9,5,8,002,002,008,1,1,1,20886
1705,11,6,10,004,002,007,2,1,1,5313
1706,11, ,3,   ,   ,   ,1,3,9,5313
1707,11, ,2,   ,   ,   ,1,3,9,5313
1729,10,6,14,011,002,010,1,1,1,3384
1730,11,1,17,   ,   ,   ,2,3,10,2529
1731,11,5,11,008,002,010,1,1,1,2529
1732,11,5,10,011,002,009,2,1,1,2529
1733,11,3,5,   ,   ,   ,1,3,8,2529
1734,11, ,4,   ,   ,   ,1,3,9,2529
1745,9,6,11,005,002,010,1,1,1,11559
1746,9,5,11,007,002,007,2,1,1,11559
1747,9, ,4,   ,   ,   ,2,3,9,11559
1751,10,6,11,005,002,008,2,1,1,3642
1752,10,6,11,005,002,008,1,1,1,3642
1753,10, ,4,   ,   ,   ,1,3,9,3642
1754,10, ,3,   ,   ,   ,2,3,9,3642
