,REGMCR,EDULEV,CLETAS,QC67,QC62,QSF11,COND3,COND10,COEFF
25800,11,3,14,   ,   ,2,3,5,2613
25801,11,3,17,   ,   ,1,3,10,2815
25802,11,5,15,   ,   ,2,3,10,2815
25803,11,6,17,   ,   ,1,3,10,2393
25804,11,5,15,   ,   ,2,3,10,2393
25805,11,3,14,   ,   ,1,3,8,3911
25806,11,4,14,   ,   ,2,3,8,3911
25807,11,3,14,   ,   ,1,3,8,2494
25808,11,3,13,007,004,2,1,1,2494
25809,11,6,9,008,011,1,1,1,6526
25810,11,6,8,008,011,2,1,1,6526
25811,11,6,15,007,996,2,1,1,3354
25812,11,5,15,   ,   ,1,3,10,3071
25813,11,6,15,   ,   ,2,3,10,3071
25814,11,2,15,997,003,1,1,1,4303
25815,11,5,8,   ,   ,2,3,5,4303
25816,11,3,15,   ,   ,1,3,10,3173
25817,11,5,15,   ,   ,2,3,10,3173
25818,11,5,10,008,004,2,1,1,4269
25819,11,3,9,008,005,1,1,1,5673
25820,11,3,8,006,011,2,1,1,5673
25821,11, ,1,   ,   ,2,3,9,5673
25822,11,4,14,008,011,1,1,1,3603
25823,11,5,14,008,004,2,1,1,3603
25824,11,6,9,   ,   ,1,3,5,3603
25825,11,5,7,   ,   ,2,3,5,3603
25826,11,2,14,   ,   ,2,3,8,4436
25827,11,3,15,   ,   ,1,3,10,4436
25828,11,5,12,007,011,1,1,1,3050
25829,11,6,11,007,006,2,1,1,3050
25830,11, ,4,   ,   ,1,3,9,3050
25831,11, ,3,   ,   ,1,3,9,3050
25832,11,3,13,006,005,1,1,1,2426
25833,11,3,13,   ,   ,2,3,8,2426
25834,11,3,11,007,010,1,1,1,3714
25835,11,5,10,007,002,2,1,1,3714
25836,11,3,5,   ,   ,2,3,8,3714
25837,11, ,4,   ,   ,1,3,9,3714
25838,11,2,16,   ,   ,2,3,10,4110
25839,11,4,10,008,002,1,1,1,6881
25840,11,5,9,006,006,2,1,1,6881
25841,11,3,5,   ,   ,1,3,8,6881
25842,11, ,3,   ,   ,2,3,9,6881
25843,11,5,6,008,002,1,1,1,3122
25844,11,3,15,   ,   ,1,3,10,4817
25845,11,5,14,007,010,2,1,1,1420
25846,11,6,9,   ,   ,2,2,2,1420
25847,11,3,14,   ,   ,2,2,2,2176
25848,11,5,10,   ,   ,2,3,5,2176
25849,11,3,11,007,005,1,1,1,2298
25850,11,3,9,006,004,2,1,1,2298
25851,11, ,4,   ,   ,1,3,9,2298
25852,11, ,3,   ,   ,2,3,9,2298
25853,11,3,13,   ,   ,1,3,8,2995
25854,11,3,13,010,005,2,1,1,2995
25855,11,5,17,   ,   ,1,3,10,1959
25856,11,5,16,   ,   ,2,3,10,1959
25857,11,6,9,   ,   ,2,3,8,1959
25858,11, ,1,   ,   ,2,3,9,1959
25859,11,6,11,997,008,1,1,1,1959
25860,11,3,17,   ,   ,2,3,10,2129
